                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7791,                 4.0327,                  1.186,                0.02181,                  0.413,                 0.1272,                 0.0717,                 1.3409,                 3.5663,                 0.9555,             0.00021632,             0.00021632,             0.00021632
                      2,                 1.5762,                 2.2882,                  1.024,                0.74452,                0.22936,                0.15432,                0.09357,                 1.2607,                 1.9492,                 0.9085,             0.00043431,             0.00043431,             0.00043431
                      3,                 1.3921,                 1.8264,                0.97917,                 0.7063,                0.24357,                0.18895,                0.12124,                 1.1192,                 1.7602,                0.92285,              0.0006479,              0.0006479,              0.0006479
                      4,                 1.3118,                 1.6897,                0.96799,                0.60559,                0.27351,                0.19583,                 0.1336,                 1.0325,                 1.4378,                0.92573,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.2401,                 1.6341,                0.96862,                0.62489,                0.25782,                0.20607,                0.14593,                0.93631,                 1.3054,                0.91486,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.2351,                 1.5856,                0.95735,                0.62024,                0.30481,                0.24961,                0.16826,                 1.0347,                 1.3036,                0.90456,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1813,                 1.4859,                0.95895,                0.69287,                 0.4138,                0.31659,                0.22105,                0.95896,                 1.1752,                0.90396,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.1612,                 1.4064,                0.94769,                0.74881,                0.38589,                0.34307,                0.23395,                0.91308,                 1.1473,                 0.9031,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.1199,                 1.4047,                0.95117,                0.72096,                0.35135,                0.34176,                0.24414,                0.89593,                 1.1786,                0.88512,             0.00061417,             0.00061417,             0.00061417
                     10,                 1.1045,                 1.3321,                0.92716,                0.78115,                0.37921,                0.35476,                0.25668,                0.87989,                 1.0993,                0.89152,             0.00060757,             0.00060757,             0.00060757
                     11,                  1.103,                 1.3061,                0.94292,                0.75978,                 0.3286,                 0.3581,                 0.2546,                0.90834,                 1.1388,                0.89822,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.0856,                 1.2689,                0.93512,                0.78951,                0.38616,                 0.3803,                0.26393,                0.90825,                 1.0246,                 0.8862,             0.00059436,             0.00059436,             0.00059436
                     13,                 1.0714,                 1.2427,                 0.9272,                0.78136,                 0.3956,                0.38769,                0.26743,                0.87337,                0.99179,                0.88068,             0.00058776,             0.00058776,             0.00058776
                     14,                 1.0801,                 1.2166,                0.92668,                0.83897,                 0.3242,                 0.4023,                0.26375,                0.84406,                0.95062,                 0.8782,             0.00058116,             0.00058116,             0.00058116
                     15,                 1.0507,                 1.1605,                0.92665,                0.80038,                0.36995,                0.40726,                0.27987,                0.84295,                0.95756,                 0.8757,             0.00057455,             0.00057455,             0.00057455
                     16,                 1.0347,                 1.1489,                0.92613,                0.65074,                0.41974,                0.42254,                0.29411,                0.87787,                0.95036,                0.88282,             0.00056795,             0.00056795,             0.00056795
                     17,                  1.027,                 1.1253,                0.92212,                0.59979,                0.41995,                0.43086,                 0.2985,                0.82782,                0.96679,                0.87022,             0.00056135,             0.00056135,             0.00056135
                     18,                  1.018,                  1.103,                0.91892,                0.58664,                 0.4559,                0.45769,                0.33013,                0.85682,                0.94199,                0.88156,             0.00055474,             0.00055474,             0.00055474
                     19,                   1.04,                 1.0867,                0.91171,                0.63161,                0.47713,                0.46834,                0.33879,                0.85653,                0.92097,                0.87667,             0.00054814,             0.00054814,             0.00054814
                     20,                0.99008,                 1.0529,                0.90411,                0.61716,                0.47031,                0.47546,                0.34466,                0.84819,                0.90116,                0.87904,             0.00054154,             0.00054154,             0.00054154
                     21,                 1.0022,                 1.0507,                0.90544,                0.55592,                0.47951,                0.48883,                0.34852,                 0.8609,                0.88859,                0.88467,             0.00053493,             0.00053493,             0.00053493
                     22,                0.99146,                 1.0443,                0.91017,                0.50445,                 0.5158,                0.49413,                0.35241,                0.85411,                0.91914,                0.87444,             0.00052833,             0.00052833,             0.00052833
                     23,                0.95399,                0.99225,                0.90005,                0.63069,                0.45697,                0.50784,                0.36126,                 0.8453,                0.95675,                0.87807,             0.00052173,             0.00052173,             0.00052173
                     24,                0.97443,                0.99173,                0.90435,                0.60266,                0.52838,                0.49782,                0.36089,                0.84552,                0.85103,                0.88001,             0.00051512,             0.00051512,             0.00051512
                     25,                0.95917,                0.94775,                0.90518,                0.55897,                0.50967,                0.53219,                0.38345,                 0.8428,                0.83302,                0.87523,             0.00050852,             0.00050852,             0.00050852
                     26,                0.99283,                 1.0005,                0.90759,                0.60738,                0.52191,                0.52734,                0.36277,                0.90008,                0.83389,                0.88617,             0.00050192,             0.00050192,             0.00050192
                     27,                0.96287,                0.94949,                0.90123,                0.58931,                0.52093,                0.53142,                0.36543,                0.87477,                0.84477,                0.88082,             0.00049531,             0.00049531,             0.00049531
                     28,                 0.9617,                0.92079,                0.89952,                0.62636,                0.51322,                0.53215,                0.38336,                0.83746,                0.81189,                0.87482,             0.00048871,             0.00048871,             0.00048871
                     29,                0.95184,                0.93958,                0.90093,                0.68259,                 0.4741,                0.54546,                0.39422,                 0.8458,                0.83433,                0.87601,             0.00048211,             0.00048211,             0.00048211
                     30,                0.96598,                    0.9,                0.89727,                0.61019,                0.55809,                0.54727,                0.39502,                0.82835,                 0.7794,                0.87473,              0.0004755,              0.0004755,              0.0004755
                     31,                0.95284,                0.88985,                0.89546,                0.69868,                0.53786,                0.58447,                0.40422,                0.85127,                0.79462,                0.87483,              0.0004689,              0.0004689,              0.0004689
                     32,                0.93564,                0.91301,                0.89792,                0.61238,                0.57935,                0.55496,                0.39239,                0.85906,                0.81402,                0.87921,              0.0004623,              0.0004623,              0.0004623
                     33,                0.92936,                0.88684,                0.90844,                0.64367,                0.52472,                0.55385,                0.39702,                0.81364,                0.81065,                0.86927,             0.00045569,             0.00045569,             0.00045569
                     34,                0.94703,                0.86642,                 0.8886,                0.71322,                0.51035,                  0.563,                0.40627,                0.82834,                0.81121,                0.87338,             0.00044909,             0.00044909,             0.00044909
                     35,                0.92846,                0.86806,                0.89054,                0.68705,                0.58407,                 0.6166,                0.42854,                0.86567,                0.81327,                0.88023,             0.00044249,             0.00044249,             0.00044249
                     36,                0.94145,                0.87433,                0.89227,                0.67911,                0.57952,                 0.5928,                0.41401,                0.87122,                0.80238,                0.88306,             0.00043588,             0.00043588,             0.00043588
                     37,                0.93591,                0.85023,                0.89605,                0.67608,                0.60691,                0.60896,                0.42922,                0.82922,                0.77802,                0.87681,             0.00042928,             0.00042928,             0.00042928
                     38,                0.92093,                0.85661,                0.89796,                 0.6569,                0.62653,                0.60984,                 0.4297,                0.84109,                0.82268,                0.87895,             0.00042268,             0.00042268,             0.00042268
                     39,                0.91383,                0.83394,                 0.8926,                0.70724,                0.62694,                0.62811,                0.44875,                0.82812,                0.81183,                0.87441,             0.00041607,             0.00041607,             0.00041607
                     40,                0.91323,                 0.8453,                0.89178,                0.69994,                0.62031,                0.64391,                0.45517,                0.81906,                0.76381,                0.87412,             0.00040947,             0.00040947,             0.00040947
                     41,                0.91941,                 0.8294,                0.87987,                0.80302,                 0.5247,                0.62368,                0.43352,                0.83645,                0.84654,                0.87488,             0.00040287,             0.00040287,             0.00040287
                     42,                0.91456,                0.82135,                0.89299,                0.64279,                0.58653,                0.60787,                0.43893,                0.82168,                0.74888,                 0.8744,             0.00039626,             0.00039626,             0.00039626
                     43,                0.89234,                0.79481,                0.88585,                0.54136,                0.53647,                0.60458,                0.43404,                0.82962,                0.81037,                0.87049,             0.00038966,             0.00038966,             0.00038966
                     44,                0.90808,                0.79167,                0.88449,                0.58657,                0.55974,                  0.591,                0.42753,                0.82994,                0.74551,                0.87403,             0.00038306,             0.00038306,             0.00038306
                     45,                 0.8992,                0.76672,                0.88636,                0.71426,                0.54111,                0.58861,                0.42973,                0.81898,                0.76812,                0.87139,             0.00037645,             0.00037645,             0.00037645
                     46,                 0.8932,                0.78917,                0.88984,                0.68617,                0.56819,                0.59585,                0.42607,                0.83051,                0.76205,                0.87563,             0.00036985,             0.00036985,             0.00036985
                     47,                0.88596,                0.77321,                0.87599,                 0.6647,                0.58156,                0.58708,                0.41631,                 0.8191,                0.77961,                0.87106,             0.00036325,             0.00036325,             0.00036325
                     48,                0.89325,                0.77991,                 0.8742,                0.65773,                0.55278,                0.58674,                0.41508,                0.85987,                0.80192,                0.87661,             0.00035664,             0.00035664,             0.00035664
                     49,                0.91091,                 0.7569,                0.88296,                0.55593,                0.57007,                0.58767,                0.42774,                0.83172,                0.75711,                0.87978,             0.00035004,             0.00035004,             0.00035004
                     50,                0.88214,                0.76796,                0.88005,                0.59415,                 0.5603,                0.59409,                0.42956,                0.81289,                0.76955,                0.87289,             0.00034344,             0.00034344,             0.00034344
                     51,                0.86658,                0.74277,                 0.8787,                 0.5585,                0.57121,                0.59665,                0.43012,                0.81761,                0.77794,                0.87053,             0.00033683,             0.00033683,             0.00033683
                     52,                0.87087,                0.73661,                0.87535,                0.68008,                0.59473,                0.60558,                0.43283,                0.81126,                0.76227,                0.87214,             0.00033023,             0.00033023,             0.00033023
                     53,                0.85211,                0.71663,                0.87076,                0.57751,                0.58701,                0.61492,                0.43541,                0.82522,                0.76889,                0.87348,             0.00032363,             0.00032363,             0.00032363
                     54,                0.86403,                 0.7489,                0.88348,                 0.6348,                0.54963,                0.61383,                0.44069,                0.83822,                0.73733,                0.87538,             0.00031703,             0.00031703,             0.00031703
                     55,                0.86135,                0.73749,                0.86875,                0.53518,                0.60984,                0.59137,                0.42784,                0.83042,                0.74147,                0.87351,             0.00031042,             0.00031042,             0.00031042
                     56,                0.86398,                0.71522,                0.87106,                0.53171,                0.57794,                0.58496,                0.43291,                0.82202,                0.72988,                0.87108,             0.00030382,             0.00030382,             0.00030382
                     57,                0.85396,                0.71792,                0.87231,                0.51943,                0.62188,                0.59897,                0.43315,                0.83082,                0.75881,                0.87267,             0.00029722,             0.00029722,             0.00029722
                     58,                0.86735,                 0.7106,                0.87372,                0.56758,                0.65626,                0.63232,                0.44724,                 0.8184,                0.71976,                0.87009,             0.00029061,             0.00029061,             0.00029061
                     59,                0.84248,                0.70289,                0.87654,                0.56801,                0.66575,                0.62596,                 0.4409,                0.84166,                0.71884,                0.87615,             0.00028401,             0.00028401,             0.00028401
                     60,                 0.8394,                0.69661,                0.87437,                 0.5877,                0.56168,                0.62113,                 0.4509,                0.80805,                0.71423,                 0.8697,             0.00027741,             0.00027741,             0.00027741
                     61,                0.82961,                0.67505,                0.87072,                0.67743,                0.51536,                0.59222,                0.42413,                0.81835,                0.73289,                0.87115,              0.0002708,              0.0002708,              0.0002708
                     62,                0.80069,                0.65404,                0.86164,                0.52787,                0.61727,                0.60155,                0.43625,                0.82491,                0.72139,                0.86959,              0.0002642,              0.0002642,              0.0002642
                     63,                0.83792,                0.67323,                 0.8743,                 0.5597,                0.59088,                0.61417,                0.44544,                0.81514,                0.72056,                0.86877,              0.0002576,              0.0002576,              0.0002576
                     64,                0.81936,                0.66873,                0.86833,                0.63037,                0.57101,                0.62932,                0.44859,                0.88892,                0.74357,                0.87999,             0.00025099,             0.00025099,             0.00025099
                     65,                0.84348,                0.67256,                0.86537,                0.61834,                0.58557,                0.61224,                0.43046,                 0.8244,                0.79502,                0.87076,             0.00024439,             0.00024439,             0.00024439
                     66,                0.84353,                0.68112,                0.87107,                0.54246,                0.59053,                0.59591,                0.42969,                0.80519,                0.72536,                0.86727,             0.00023779,             0.00023779,             0.00023779
                     67,                0.83724,                0.67597,                0.88013,                0.58101,                0.62287,                0.62983,                0.45245,                 0.8069,                0.73077,                   0.87,             0.00023118,             0.00023118,             0.00023118
                     68,                 0.8005,                0.64918,                0.86744,                0.53517,                0.60275,                0.60804,                0.44332,                0.80533,                0.71102,                0.86967,             0.00022458,             0.00022458,             0.00022458
                     69,                0.79652,                0.64588,                0.86575,                0.59415,                0.57019,                0.60748,                0.43487,                 0.8258,                0.71542,                0.87254,             0.00021798,             0.00021798,             0.00021798
                     70,                0.81155,                0.65209,                0.86553,                0.62064,                0.54723,                0.60101,                0.43267,                0.82224,                0.75616,                0.87016,             0.00021137,             0.00021137,             0.00021137
                     71,                0.82007,                0.64804,                0.86465,                 0.5462,                0.59468,                0.59837,                0.44015,                0.81679,                0.71746,                0.87391,             0.00020477,             0.00020477,             0.00020477
                     72,                0.82265,                0.64431,                0.86334,                0.58833,                0.61715,                0.61778,                0.45085,                0.80533,                0.71245,                 0.8717,             0.00019817,             0.00019817,             0.00019817
                     73,                 0.8029,                0.64326,                0.86357,                0.56215,                0.61255,                 0.6186,                0.45983,                0.80212,                0.76206,                0.87043,             0.00019156,             0.00019156,             0.00019156
                     74,                0.79987,                0.63164,                0.86452,                0.55747,                0.59538,                0.62156,                0.45079,                0.80137,                0.70046,                0.86927,             0.00018496,             0.00018496,             0.00018496
                     75,                0.79039,                0.62803,                0.86641,                 0.5498,                0.57194,                0.60349,                0.44544,                0.80552,                0.74054,                0.86824,             0.00017836,             0.00017836,             0.00017836
                     76,                0.79488,                0.63167,                0.87011,                0.56662,                0.63163,                0.61705,                0.45297,                 0.8126,                0.76613,                0.86884,             0.00017175,             0.00017175,             0.00017175
                     77,                0.81689,                0.64006,                0.85976,                0.66112,                0.51913,                0.62511,                 0.4447,                0.82435,                0.72312,                0.87029,             0.00016515,             0.00016515,             0.00016515
                     78,                0.78569,                0.63499,                0.85542,                0.60356,                0.54726,                0.61305,                0.44233,                0.83547,                 0.7117,                0.87194,             0.00015855,             0.00015855,             0.00015855
                     79,                0.79153,                0.61578,                0.86368,                0.66098,                0.51447,                0.60224,                0.44167,                 0.8264,                0.72918,                0.87101,             0.00015194,             0.00015194,             0.00015194
                     80,                0.78471,                0.60873,                0.86175,                0.57265,                0.59002,                0.61659,                0.44914,                0.80651,                    0.7,                 0.8689,             0.00014534,             0.00014534,             0.00014534
                     81,                0.78385,                0.59986,                0.85638,                0.62555,                0.56403,                0.61286,                0.44727,                0.82102,                0.70989,                0.87243,             0.00013874,             0.00013874,             0.00013874
                     82,                 0.7855,                0.60744,                0.85779,                 0.5317,                0.62418,                0.61083,                0.45002,                0.81157,                0.70632,                0.86922,             0.00013213,             0.00013213,             0.00013213
                     83,                0.76969,                0.59619,                0.86075,                0.53748,                0.63361,                0.60285,                0.44322,                0.80862,                0.71854,                0.87339,             0.00012553,             0.00012553,             0.00012553
                     84,                0.78511,                0.61018,                0.86429,                0.56236,                0.59695,                0.61292,                0.44133,                0.81134,                0.72953,                0.87283,             0.00011893,             0.00011893,             0.00011893
                     85,                0.77109,                 0.5899,                0.85419,                0.58988,                0.56671,                0.60897,                0.44391,                0.80338,                0.71043,                0.87144,             0.00011232,             0.00011232,             0.00011232
