                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7714,                 4.0757,                 1.1782,                0.01724,                0.31154,                0.08315,                0.04281,                 1.4591,                 3.7446,                 1.0128,             0.00021632,             0.00021632,             0.00021632
                      2,                 1.5217,                 2.1981,                 1.0169,                0.73604,                0.17816,                0.12987,                0.08195,                   1.41,                 2.0569,                0.97941,             0.00043431,             0.00043431,             0.00043431
                      3,                 1.3758,                 1.8648,                0.98073,                0.64135,                0.19192,                0.17831,                0.11893,                 1.1373,                 1.7587,                  0.952,              0.0006479,              0.0006479,              0.0006479
                      4,                 1.2757,                 1.7031,                0.97579,                0.67576,                0.20297,                0.18565,                0.12771,                 1.1261,                 1.6933,                0.95557,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.2239,                 1.5851,                0.96743,                0.63045,                0.28314,                0.20632,                0.14248,                 1.0442,                 1.3322,                0.95586,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.1851,                   1.57,                 0.9489,                0.68413,                0.33369,                0.25496,                0.17953,                 1.0151,                 1.2654,                0.94075,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1313,                 1.4298,                0.94915,                0.82744,                0.25005,                0.25774,                0.18395,                 1.0016,                 1.1903,                0.93317,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.1501,                 1.4057,                0.94452,                0.69381,                 0.3617,                0.28909,                0.20538,                0.93576,                 1.1801,                0.90898,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.0721,                 1.3348,                0.92935,                0.76566,                0.30343,                0.29301,                0.19793,                0.95044,                 1.1503,                 0.9252,             0.00061417,             0.00061417,             0.00061417
                     10,                 1.0843,                 1.2898,                0.93182,                0.72852,                0.32187,                0.33252,                0.23432,                0.91506,                  1.177,                0.90988,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0793,                 1.2893,                0.93365,                0.74782,                0.38115,                0.31963,                0.23396,                0.91839,                 1.2526,                0.90777,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.0541,                 1.2241,                0.91944,                0.82684,                0.38781,                0.42367,                0.30209,                0.90036,                 1.0271,                0.90457,             0.00059436,             0.00059436,             0.00059436
                     13,                 1.0407,                 1.1967,                0.92151,                0.81067,                0.36993,                0.41734,                 0.3024,                0.92407,                 1.0144,                0.91211,             0.00058776,             0.00058776,             0.00058776
                     14,                 1.0566,                 1.1702,                0.92633,                0.83817,                0.37536,                0.42635,                0.30988,                0.93111,                 1.0559,                0.91174,             0.00058116,             0.00058116,             0.00058116
                     15,                 1.0258,                  1.131,                0.91916,                0.81185,                0.38831,                0.42125,                0.30862,                0.88776,                 1.0051,                0.90647,             0.00057455,             0.00057455,             0.00057455
                     16,                 1.0218,                  1.122,                0.91508,                0.68124,                 0.3986,                0.44367,                0.30344,                0.86488,                 1.0101,                0.89978,             0.00056795,             0.00056795,             0.00056795
                     17,                 1.0203,                  1.087,                0.90596,                0.65729,                 0.4401,                0.43263,                0.31205,                0.88517,                0.97161,                 0.9043,             0.00056135,             0.00056135,             0.00056135
                     18,                0.99299,                 1.0707,                0.90992,                0.78457,                0.40141,                0.44261,                0.30363,                0.88559,                0.98413,                0.90114,             0.00055474,             0.00055474,             0.00055474
                     19,                0.96999,                 1.0241,                0.90705,                0.73344,                0.44846,                0.46403,                0.32253,                0.86647,                0.93723,                0.90338,             0.00054814,             0.00054814,             0.00054814
                     20,                 0.9872,                 1.0009,                0.90376,                0.70854,                0.44445,                0.46392,                0.33084,                0.91154,                0.93034,                 0.9088,             0.00054154,             0.00054154,             0.00054154
                     21,                0.97917,                0.99519,                0.89756,                0.89805,                0.38428,                0.48277,                0.33366,                0.87068,                0.95227,                0.90065,             0.00053493,             0.00053493,             0.00053493
                     22,                0.97859,                 0.9786,                0.89933,                0.74074,                  0.419,                0.48481,                0.31877,                 0.9134,                0.92593,                0.91025,             0.00052833,             0.00052833,             0.00052833
                     23,                0.98621,                0.96126,                0.90481,                0.75387,                0.41784,                0.49947,                0.34671,                0.88829,                0.89454,                0.90565,             0.00052173,             0.00052173,             0.00052173
                     24,                0.96807,                0.93232,                0.89672,                 0.7449,                0.48594,                0.52141,                0.36165,                0.87389,                0.87923,                0.89658,             0.00051512,             0.00051512,             0.00051512
                     25,                0.95338,                0.91562,                0.89609,                0.80194,                0.42358,                0.53145,                0.36954,                0.88414,                0.87584,                0.90567,             0.00050852,             0.00050852,             0.00050852
                     26,                0.94345,                 0.9028,                0.89605,                0.79554,                0.42396,                0.50772,                0.35725,                 0.8961,                 0.8724,                0.90832,             0.00050192,             0.00050192,             0.00050192
                     27,                0.95515,                0.88967,                0.89554,                0.74582,                0.47145,                0.50242,                0.37481,                0.88769,                0.90159,                0.90641,             0.00049531,             0.00049531,             0.00049531
                     28,                0.93979,                0.86907,                0.89509,                0.75544,                0.46854,                0.51321,                0.37973,                0.88154,                0.88515,                0.90043,             0.00048871,             0.00048871,             0.00048871
                     29,                0.93386,                0.86235,                0.89514,                0.67591,                 0.4629,                0.51082,                 0.3739,                 0.8773,                0.87004,                0.89861,             0.00048211,             0.00048211,             0.00048211
                     30,                0.94277,                0.86467,                 0.8915,                0.62883,                0.51073,                0.52288,                0.37504,                 0.8659,                 0.8667,                0.90678,              0.0004755,              0.0004755,              0.0004755
                     31,                0.93477,                0.85649,                0.89694,                0.69112,                0.52513,                 0.5285,                 0.3746,                0.86498,                0.86915,                0.89945,              0.0004689,              0.0004689,              0.0004689
                     32,                0.90575,                0.83226,                0.89022,                0.75252,                0.48543,                0.52795,                0.37339,                0.89942,                0.89391,                0.90013,              0.0004623,              0.0004623,              0.0004623
                     33,                0.92313,                0.83174,                0.89084,                0.73879,                0.53093,                0.52493,                0.37161,                0.89414,                0.87494,                0.90475,             0.00045569,             0.00045569,             0.00045569
                     34,                0.90874,                0.81316,                0.88071,                0.71048,                0.52156,                0.50405,                0.36963,                0.88121,                  0.855,                0.89754,             0.00044909,             0.00044909,             0.00044909
                     35,                0.92092,                0.80976,                0.88574,                0.63197,                0.55914,                0.52942,                0.39031,                0.85743,                0.82785,                0.89528,             0.00044249,             0.00044249,             0.00044249
                     36,                0.90743,                0.79071,                0.88175,                0.75299,                0.53501,                0.54157,                0.39168,                0.85984,                0.85771,                0.89586,             0.00043588,             0.00043588,             0.00043588
                     37,                 0.9155,                0.80087,                0.88565,                0.75599,                0.52298,                 0.5865,                0.39887,                0.89467,                0.85562,                0.90128,             0.00042928,             0.00042928,             0.00042928
                     38,                 0.9147,                0.80467,                0.89396,                0.77279,                 0.5163,                0.52947,                0.38508,                0.88545,                 0.8582,                0.90272,             0.00042268,             0.00042268,             0.00042268
                     39,                0.88122,                0.76213,                0.88273,                0.77053,                0.51025,                0.52093,                0.38161,                0.87924,                0.85612,                0.90027,             0.00041607,             0.00041607,             0.00041607
                     40,                 0.8918,                0.78537,                0.87711,                0.74246,                0.50564,                0.50928,                0.35643,                0.88898,                0.87373,                0.90565,             0.00040947,             0.00040947,             0.00040947
