                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7832,                 3.9709,                 1.1781,                 0.0168,                0.32378,                0.06821,                0.03924,                 1.3536,                 3.5727,                0.97364,             0.00021632,             0.00021632,             0.00021632
                      2,                 1.5772,                 2.2763,                 1.0132,                0.76861,                0.16808,                0.12087,                0.07463,                 1.2862,                 2.1839,                0.94637,             0.00043431,             0.00043431,             0.00043431
                      3,                 1.3587,                 1.8059,                 0.9723,                0.65369,                0.18076,                0.13642,                0.08869,                 1.1308,                 1.8521,                0.94574,              0.0006479,              0.0006479,              0.0006479
                      4,                 1.2825,                 1.7028,                0.96385,                0.65496,                0.21928,                0.15547,                0.10848,                 1.0892,                 1.5583,                0.94535,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.2834,                  1.665,                0.97744,                0.67509,                0.20639,                0.17343,                0.11927,                 1.0171,                 1.5324,                0.94633,             0.00064059,             0.00064059,             0.00064059
                      6,                 1.1889,                 1.5009,                0.94963,                 0.6753,                0.33209,                0.19111,                0.12906,                 1.0546,                 1.3582,                0.94189,             0.00063398,             0.00063398,             0.00063398
                      7,                 1.1725,                 1.4746,                0.95113,                0.71591,                0.26355,                0.22527,                0.15465,                0.98161,                 1.4219,                0.92559,             0.00062738,             0.00062738,             0.00062738
                      8,                 1.1738,                 1.4057,                0.95549,                0.84998,                0.27013,                0.25654,                0.18438,                0.98227,                  1.238,                0.92226,             0.00062078,             0.00062078,             0.00062078
                      9,                 1.1256,                 1.3734,                0.94004,                0.74526,                0.27589,                0.28236,                0.20244,                0.95162,                 1.2437,                0.91486,             0.00061417,             0.00061417,             0.00061417
                     10,                 1.1162,                 1.2867,                0.93517,                0.80827,                0.28982,                0.31138,                0.21368,                0.93665,                 1.2737,                0.91316,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0622,                 1.2373,                0.93239,                0.86854,                0.27448,                0.30433,                0.21302,                0.92289,                  1.205,                0.90619,             0.00060097,             0.00060097,             0.00060097
                     12,                 1.0624,                 1.2525,                0.93297,                0.80317,                0.22917,                0.24141,                0.16973,                 0.9612,                 1.2197,                0.92542,             0.00059436,             0.00059436,             0.00059436
                     13,                 1.0627,                 1.2471,                0.92577,                 0.8266,                0.32008,                0.31641,                0.22079,                0.90271,                  1.154,                0.90711,             0.00058776,             0.00058776,             0.00058776
                     14,                 1.0291,                 1.1951,                0.92409,                0.85118,                0.29912,                0.33321,                0.23751,                0.89977,                  1.137,                0.89297,             0.00058116,             0.00058116,             0.00058116
                     15,                 1.0402,                 1.1532,                0.92583,                0.83342,                0.32139,                0.34587,                0.24351,                0.92179,                  1.084,                 0.9047,             0.00057455,             0.00057455,             0.00057455
