                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83156,                0.68654,                0.87164,                 0.9192,                0.75967,                0.84862,                 0.6516,                0.67327,                0.49927,                0.83288,             0.00021632,             0.00021632,             0.00021632
                      2,                0.89938,                0.74125,                0.87815,                0.80794,                0.79363,                0.83236,                0.64092,                0.70003,                 0.5419,                0.83833,             0.00043431,             0.00043431,             0.00043431
                      3,                0.88252,                0.73532,                 0.8772,                0.78409,                0.76652,                0.81041,                0.61789,                0.71308,                0.60537,                0.84001,              0.0006479,              0.0006479,              0.0006479
                      4,                0.89247,                0.72704,                 0.8788,                0.78878,                 0.7217,                0.81144,                0.58862,                0.73258,                0.57002,                0.84105,             0.00064719,             0.00064719,             0.00064719
                      5,                0.87483,                0.72008,                0.87786,                0.80209,                0.74009,                0.80933,                0.58208,                0.73182,                0.56183,                0.84239,             0.00064059,             0.00064059,             0.00064059
                      6,                0.90391,                0.73839,                0.88515,                0.78897,                0.70819,                0.79381,                 0.5744,                0.74588,                0.62841,                0.84519,             0.00063398,             0.00063398,             0.00063398
                      7,                  0.881,                0.70974,                0.88097,                 0.7936,                0.70476,                0.79432,                0.58297,                0.75101,                0.56603,                0.84827,             0.00062738,             0.00062738,             0.00062738
                      8,                0.87893,                0.71806,                0.87649,                0.79199,                0.68872,                 0.7757,                0.58221,                0.77679,                0.63467,                0.85225,             0.00062078,             0.00062078,             0.00062078
                      9,                0.87942,                0.71159,                0.88238,                0.79458,                0.75691,                0.81414,                0.58586,                0.77118,                0.57813,                0.85169,             0.00061417,             0.00061417,             0.00061417
                     10,                0.87656,                0.69461,                0.86907,                0.78143,                0.79701,                0.80353,                0.58477,                0.75223,                0.57054,                0.85296,             0.00060757,             0.00060757,             0.00060757
                     11,                0.85545,                0.65618,                0.87413,                0.82636,                0.74586,                0.78833,                0.58091,                0.75895,                0.56489,                0.85006,             0.00060097,             0.00060097,             0.00060097
                     12,                0.86807,                0.67344,                0.87583,                0.79431,                0.77411,                0.79019,                0.59638,                0.74815,                0.56945,                0.84937,             0.00059436,             0.00059436,             0.00059436
                     13,                0.90017,                0.69192,                0.88104,                0.80422,                0.71878,                0.77292,                0.57454,                0.76779,                0.58896,                0.85212,             0.00058776,             0.00058776,             0.00058776
                     14,                0.90485,                0.69134,                0.88321,                0.76316,                0.77957,                0.82951,                0.61904,                 0.7797,                0.57997,                0.85776,             0.00058116,             0.00058116,             0.00058116
                     15,                0.87943,                0.67678,                0.88281,                0.82435,                0.75735,                 0.8233,                0.58628,                0.79683,                0.57585,                0.86171,             0.00057455,             0.00057455,             0.00057455
                     16,                 0.8686,                0.66137,                0.87642,                0.80803,                0.76365,                0.80919,                0.58809,                0.76573,                0.58119,                0.85267,             0.00056795,             0.00056795,             0.00056795
                     17,                 0.8634,                0.63592,                0.87935,                0.85533,                0.72627,                0.82411,                0.60194,                0.78958,                0.55883,                0.85906,             0.00056135,             0.00056135,             0.00056135
                     18,                0.85277,                0.63854,                0.87289,                0.82807,                0.78525,                0.79703,                0.58598,                 0.7723,                0.54885,                 0.8527,             0.00055474,             0.00055474,             0.00055474
                     19,                 0.8534,                0.65522,                0.86823,                0.83468,                0.75126,                0.79668,                0.58961,                0.76028,                0.56582,                0.85374,             0.00054814,             0.00054814,             0.00054814
                     20,                0.83928,                0.64512,                0.86726,                0.86429,                0.70954,                0.81407,                0.59499,                0.75732,                0.56856,                0.85492,             0.00054154,             0.00054154,             0.00054154
